aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC

aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
aardvark	VCCCVCC	3	ˈärd-ˌvärk	1VCCCVCC
test	CVCC		ˈtest	C1VCC
test	CVCC		ˈtest	C1VCC
saddle	CVCVC	0,2	ˈsa-dəl	C1VCVC	_s1AEdAXl.
abduction	VCCVCCVC	0,2,5	ab-ˈdək-shən	VCC1VCCVC	_AXbd1UXkSIXn.
goddess	CVCVC	0,2	ˈgä-dəs	C1VCVC	_g1AAdIHs.
station	CCVCVC	0,3	ˈstā-shən	CC1VCVC	_st1EYSIXn.
martingale	CVCCVCCVC	0,3,6	ˈmär-tən-ˌgāl	C1VCCVC 2VC	_m1AArtIHN ~2EYl.
everlasting	VCVCCVCCVC	0,1,4,7	ˌe-vər-ˈlas-tiŋ	VCVCC1VCCVC	_EHvAXrl1AEstIHN.
melee	CVCV	0,2	ˈmā-ˌlā	C1VCV	_m1EYlEY.
brio	CCVV	0,3	ˈbrē-(ˌ)ō	CC1VV	_br1IYOW.
viva	CVCV	0,2	ˈvē-və	C1VCV	_v1IYvAX.
membrane	CVCCCVC	0,3	ˈmem-ˌbrān	C1VCCCVC	_m1EHmbrEYn.
profit	CCVCVC	0,3	ˈprä-fət	CC1VCVC	_pr1AAfIXt.
antipathetic	VCCVCVCVCVC	0,2,4,6,8	ˌan-ti-pə-ˈthe-tik	1VCCV CVC2VCVC	_1AEntAY ~pAXT2EHtIHk.
vainglorious	CVCCCVCVVC	0,3,7,8	ˌvān-ˈglȯr-ē-əs	C1VCCC1VCVVC	_v1EYngl1AOrIYIXs.
trustee	CCVCCV	0,4	ˌtrəs-ˈtē	CCVCC1V	_trUXst1IY.
event	VCVCC	0,1	i-ˈvent	VC1VCC	_IHv1EHnt.
infantry	VCCVCCCV	0,2,5	ˈin-fən-trē	1VCCVCCCV	_1IHnfAXntrIY.
oil	VVC	0,1	ˈȯi(-ə)l	1VC	_1OYl.
weighted	CVCVC	0,2	ˈwā-təd	C1VCVC	_w1EYtIXd.
meal	CVC	0	ˈmēl	C1VC	_m1IYl.
strum	CCCVC	0	ˈstrəm	CCC1VC	_str1UXm.
queenly	CCVCCV	0,4	ˈkwēn-lē	CC1VCCV	_kw1IYnlIY.
city	CVCV	0,2	ˈsi-tē	C1VCV	_s1IHtIY.
leek	CVC	0	ˈlēk	C1VC	_l1IYk.
grizzled	CCVCVCC	0,3	ˈgri-zəld	CC1VCVCC	_gr1IHzAXld.
ooh	V	0	ˈü	1V	_1UW.
paid	CVC	0	ˈpād	C1VC	_p1EYd.
feudist	CVCVCC	0,2	ˈfyü-dist	CC1VC 2VCC	_fy1UWd ~2IHst.
microbiology	CVCCVCVVCVCV	0,2,5,7,8,10	ˌmī-krō-bī-ˈä-lə-jē	CVCCVCV1VCVCV	_mAYkrOWbAY1AAlIXJIY.
goof	CVC	0	ˈgüf	C1VC	_g1UWf.
speck	CCVC	0	ˈspek	CC1VC	_sp1EHk.
bypass	CVCVC	0,2	ˈbī-ˌpas	C1VCVC	_b1AYpAEs.
recover	CVCVCVC	0,2,4	ri-ˈkə-vər	CVC1VCVC	_rIXk1UXvAXr.
mineral	CVCCVC	0,3	ˈmin-rəl	C1VCVCCVC	_m1IHnAXrrAXl.
jetsam	CVCCVC	0,3	ˈjet-səm	C1VCCVC	_J1EHtsAXm.
wallflower	CVCCCVVC	0,3,6	ˈwȯl-ˌflau̇(-ə)r	C1VCCCVVC	_w1AOlflAWAXr.
beau	CV	0	ˈbō	C1V	_b1OW.
daze	CVC	0	ˈdāz	C1VC	_d1EYz.
speechless	CCVCCVC	0,4	ˈspēch-ləs	CC1VCCVC	_sp1IYClIXs.
brilliance	CCVCVCC	0,4	ˈbril-yən(t)s	CC1VCCVCC	_br1IHlyIXns.
revile	CVCVVC	0,2,4	ri-ˈvī(-ə)l	CVC1VC	_rIXv1AYl.
sludge	CCVC	0	ˈsləj	CC1VC	_sl1UXJ.
dodecahedron	CVCVCVCVCCVC	0,2,4,6,8	(ˌ)dō-ˌde-kə-ˈhē-drən	C1VCCVC1VCCVC	_d1OWdkIXh1IYdrAXn.
guacamole	CCVCVCVCV	0,3,5,7	ˌgwä-kə-ˈmō-lē	CC1VCVC1VCV	_gw1AAkAXm1OWlEY.
linchpin	CVCCCVC	0,4	ˈlinch-ˌpin	C1VCC C2VC	_l1IHnC ~p2IHn.
knitwear	CVCCVC	0,3	ˈnit-ˌwer	C1VCCVC	_n1IHtwEHr.
earthquake	VCCCCVC	0,3	ˈərth-ˌkwāk	1VCCCCVC	_1AXrTkwEYk.
weak	CVC	0	ˈwēk	C1VC	_w1IYk.
sinless	CVCCVC	0,3	ˈsin-ləs	C1VC=CVC	_s1IHn=lIXs.
at	VC	0	ət	1VC	_1AEt.
aqueous	VCCVVC	0,1,4	ˈā-kwē-əs	1VCCVVC	_1AEkwIYIXs.
sydney	CVCCV	0,3	ˈsid-nē	C1VCCV	_s1IHdnIY.
midstream	CVCCCCVC	0,3	ˈmid-ˈstrēm	CVC=CCC1VC	_mIHd=str1IYm.
anonymous	VCVCVCVC	0,1,3,5	ə-ˈnä-nə-məs	VC1VCVCVC	_AXn1AAnIXmAXs.
commonality	CVCVCVCVCV	0,2,4,6,8	ˌkä-mə-ˈna-lə-tē	C1VCVC1VCVCV	_k1AAmAXn1AElIXtIY.
bale	CVC	0	ˈbāl	C1VC	_b1EYl.
circle	CVCCVC	0,3	ˈsər-kəl	C1VCCVC	_s1AXrkAXl.
inclining	VCCCVCVC	0,2,5	in-ˈklī-niŋ	VCCC1VC=VC	_IHnkl1AYn=IHN.
well	CVC	0	ˈwel	C1VC	_w1EHl.
neophyte	CVVCVC	0,2,3	ˈnē-ə-ˌfīt	C1VVCVC	_n1IYIXfAYt.
slovenly	CCVCVCCV	0,3,6	ˈslə-vən-lē	CC1VCVCCV	_sl1UXvAXnlIY.
pigsty	CVCCCV	0,3	ˈpig-ˌstī	C1VC=CCV	_p1IHg=stAY.
adjacency	VCVCVCCV	0,1,3,6	ə-ˈjā-sən(t)-sē	VC1VCVCCV	_AXJ1EYsIXnsIY.
cell	CVC	0	ˈsel	C1VC	_s1EHl.
tweed	CCVC	0	ˈtwēd	CC1VC	_tw1IYd.
circadian	CVCCVCVVC	0,3,5,7	sər-ˈkā-dē-ən	CVCC1VCVVC	_sAXrk1EYdIYIXn.
leghorn	CVCCVCC	0,3	ˈleg-ˌhȯrn;	C1VCCVCC	_l1EHghAOrn.
mourn	CVCC	0	ˈmȯrn	C1VCC	_m1AOrn.
sociability	CVCVCVCVCV	0,2,4,6,8	ˌsō-shə-ˈbi-lə-tē	C1VCVC1VCVCV	_s1OWSAXb1IHlIXtIY.
dais	CVVC	0,2	ˈdā-əs	C1VVC	_d1EYIHs.
fiend	CVCC	0	ˈfēnd	C1VCC	_f1IYnd.
exciton	VCCVCVC	0,2,4	ˈek-sə-ˌtän	1VCCVCVC	_1IHksIXtUHn.
mammoth	CVCVC	0,2	ˈma-məth	C1VCVC	_m1AEmAXT.
get	CVC	0	ˈget	C1VC	_g1EHt.
genome	CVCVC	0,2	ˈjē-ˌnōm	C1VCVC	_J1IYnOWm.
goodwill	CVCCVC	0,3	ˌgu̇d-ˈwil	CVCC1VC	_gUHdw1IHl.
instructive	VCCCCVCCVC	0,2,7	in-ˈstrək-tiv	VCCCC1VCCVC	_IHnstr1UXktIHv.
ill	VC	0	ˈil	1VC	_1IHl.
ovoid	VCVC	0,1	ˈō-ˌvȯid	1VCVC	_1OWvOYd.
plum	CCVC	0	ˈpləm	CC1VC	_pl1UXm.
rouse	CVC	0	ˈrau̇z	C1VC	_r1AWz.
robbery	CVCVCV	0,2,4	ˈrä-b(ə-)rē	C1VCVCCV	_r1AAbAXrrIY.
consequential	CVCCVCCVCCVC	0,3,5,9	ˌkän(t)-sə-ˈkwen(t)-shəl	C1VCCVCC1VCCVC	_k1AAnsAXkw1EHnCAXl.
rye	CV	0	ˈrī	C1V	_r1AY.
swelling	CCVCVC	0,4,6	ˈswel-iŋ-	CC1VC=VC	_sw1EHl=IHN.
uncouth	VCCVC	0,2	ən-ˈküth	1VC=C1VC	_1UXn=k1UWT.
chad	CVC	0	ˈchad	C1VC	_C1AEd.
stagger	CCVCVC	0,3	ˈsta-gər	CC1VCVC	_st1AEgAXr.
wormy	CVCCV	0,3	ˈwər-mē	C1VCCV	_w1AXrmIY.
forcible	CVCCVCVC	0,3,5	ˈfȯr-sə-bəl	C1VCCVCVC	_f1AOrsIXbAXl.
seep	CVC	0	ˈsēp	C1VC	_s1IYp.
dome	CVC	0	ˈdōm	C1VC	_d1OWm.
bulletin	CVCVCVC	0,2,4	ˈbu̇-lə-tən	C1VCVCVC	_b1UHlIXtIXn.
deadlock	CVCCVC	0,3	ˈded-ˌläk	C1VC=CVC	_d1EHd=lAAk.
remainder	CVCVCCVC	0,2,5	ri-ˈmān-dər	CVC1VCCVC	_rIXm1EYndAXr.
aviate	VCVVC	0,1,3	ˈā-vē-ˌāt	1VCV 2VC	_1AAvIY ~2EYt.
disassociate	CVCVCVCVVC	0,3,4,6,8	ˌdis-ə-ˈsō-sē-ˌāt	C1VCVC1VCVVC	_d1IHsIXs1OWsIYEYt.
denote	CVCVC	0,2	di-ˈnōt	CVC1VC	_dIHn1OWt.
duplicity	CVCCVCVCV	0,2,5,7	du̇-ˈpli-sə-tē	CVCC1VCVCV	_dUWpl1IHsIXtIY.
devilish	CVCVCVC	0,2,5	ˈde-vəl-ish	C1VCVCVC	_d1EHvAXlIHS.
tannery	CVCVCV	0,2,4	ˈta-nə-rē	C1VCVCCV	_t1AEnAXrrIY.
camisole	CVCVCVC	0,2,4	ˈka-mə-ˌsōl	C1VCVCVC	_k1AEmIXsOWl.
drachma	CCVCCV	0,4	ˈdrak-mə	CC1VCCV	_dr1AAkmAX.
turbid	CVCCVC	0,3	ˈtər-bəd	C1VCCVC	_t1AXrbIXd.
polonium	CVCVCVVC	0,2,4,6	pə-ˈlō-nē-əm	CVC1VCVVC	_pAXl1OWnIYIXm.
hummer	CVCVC	0,2	ˈhə-mər	C1VC=VC	_h1UXm=AXr.
apis	VCVC	0,1	ˈā-pəs	VC1VC	_AXp1IHs.
meditate	CVCVCVC	0,2,4	ˈme-də-ˌtāt	C1VCVCVC	_m1EHdIHtEYt.
thriftless	CCVCCCVC	0,5	ˈthrift-ləs	CC1VCCCVC	_Tr1IHftlIXs.
dissect	CVCVCC	0,2	dī-ˈsekt	CVC1VCC	_dIXs1EHkt.
sherbet	CVCCVC	0,3	ˈshər-bət	C1VCCVC	_S1AXrbAXt.
stage	CCVC	0	ˈstāj	CC1VC	_st1EYJ.
ordinal	VCCCVC	0,3	ˈȯrd-nəl	1VCCVCVC	_1AOrdIXnAXl.
mohair	CVCVC	0,2	ˈmō-ˌher	C1VCVC	_m1OWhEHr.
temptation	CVCCVCVC	0,3,5	tem(p)-ˈtā-shən	CVCCC1VCVC	_tEHmpt1EYSIXn.
electricity	VCVCCCVCVCV	0,1,4,7,9	i-ˌlek-ˈtri-sə-tē	VC1VCCC1VCVCV	_IHl1EHktr1IHsIXtIY.
ensue	VCCV	0,2	in-ˈsü	VCC1V	_EHns1UW.
cab	CVC	0	ˈkab	C1VC	_k1AEb.
soapy	CVCV	0,2	ˈsō-pē	C1VCV	_s1OWpIY.
abstemious	VCCCVCVVC	0,2,5,7	ab-ˈstē-mē-əs	VCCC1VCVVC	_AEbst1IYmIYIXs.
hosepipe	CVCCVC	0,3	ˈhōz-ˌpīp	C1VC C2VC	_h1OWz ~p2AYp.
contiguous	CVCCVCVCVC	0,3,5,7	kən-ˈti-gyə-wəs	CVCC1VCCVVC	_kAXnt1IHgyUWAXs.
turmoil	CVCCVVC	0,3,5	ˈtər-ˌmȯi(-ə)l	C1VCCVC	_t1AXrmOYl.
phoneme	CVCVC	0,2	ˈfō-ˌnēm	C1VCVC	_f1OWnIYm.
mattress	CVCCVC	0,2	ˈma-trəs	C1VCCVC	_m1AEtrIXs.
aviator	VCVVCVC	0,1,3,4	ˈā-vē-ˌā-tər	1VCVVCVC	_1EYvIYEYtAXr.
mummy	CVCV	0,2	ˈmə-mē	C1VCV	_m1UXmIY.
analytic	VCVCVCVC	0,1,3,5	ˌa-nə-ˈli-tik	VCVC1VCVC	_AEnAXl1IHtIHk.
potash	CVCVC	0,3	ˈpät-ˌash	C1VCVC	_p1AAtAES.
nap	CVC	0	ˈnap	C1VC	_n1AEp.
evocative	VCVCVCVC	0,1,3,5	i-ˈvä-kə-tiv	VC1VCVCVC	_IHv1AAkAXtIHv.
foggy	CVCV	0,2	ˈfȯ-gē	C1VCV	_f1AOgIY.
box	CVCC	0	ˈbäks	C1VCC	_b1AAks.
uvula	VCVCV	0,1,3	ˈyü-vyə-lə	C1VCCVCV	_y1UWvyIXlAX.
elimination	VCVCVCVCVC	0,1,3,5,7	i-ˌli-mə-ˈnā-shən	VCVCVC1VCVC	_IHlIHmIXn1EYSIXn.
astigmatism	VCCVCCVCVCVC	0,1,5,7,9	ə-ˈstig-mə-ˌti-zəm	VCC1VCCVCVCVC	_AXst1IHgmAXtIHzAXm.
annul	VCVC	0,1	ə-ˈnəl	VC1VC	_AXn1UXl.
mountie	CVCCV	0,3	ˈmau̇n-tē	C1V 2VCC2V	_m1OW ~2UXnt2AY.
lectern	CVCCVCC	0,3	ˈlek-tərn	C1VCCVCC	_l1EHktAXrn.
thruster	CCVCCVC	0,4	ˈthrəs-tər	CC1VCC=VC	_Tr1UXst=AXr.
acid	VCVC	0,1	ˈa-səd	1VCVC	_1AEsIXd.
distinct	CVCCVCCC	0,2	di-ˈstiŋ(k)t	CVCC1VCCC	_dIXst1IHNkt.
cross	CCVC	0	ˈkrȯs	CC1VC	_kr1AOs.
chief	CVC	0	ˈchēf	C1VC	_C1IYf.
adequate	VCVCCVC	0,1,3	ˈa-di-kwət	1VCVCCVC	_1AEdIXkwAXt.
mar	CVC	0	ˈmär	C1VC	_m1AAr.
retraction	CVCCVCCVC	0,2,6	ri-ˈtrak-shən	CVCC1VCCVC	_rIXtr1AEkSIXn.
vest	CVCC	0	ˈvest	C1VCC	_v1EHst.
come	CVC	0	ˈkəm	C1VC	_k1UXm.
offensive	VCVCCVC	0,1,4	ə-ˈfen(t)-siv	VC1VCCVC	_AXf1EHnsIHv.
internal	VCCVCCVC	0,2,5	in-ˈtər-nəl	1VCC1VCCVC	_1IHnt1AXrnAXl.
liar	CVVC	0,2	ˈlī(-ə)r	C1VVC	_l1AYAXr.
referendum	CVCVCVCCVC	0,2,4,7	ˌre-fə-ˈren-dəm	CVCVCC1VCCVC	_rEHfAXrr1EHndAXm.
inducement	VCCVCCVCC	0,2,5	in-ˈdüs-mənt	VCC1VC=CVCC	_IHnd1UWs=mIXnt.
seamanship	CVCVCCVC	0,2,5	ˈsē-mən-ˌship	C1VCVCCVC	_s1IYmAXnSIHp.
scientist	CVVCCVCC	0,2,4	ˈsī-ən-tist	C1VVCCVCC	_s1AYIXntIXst.
pageant	CVCVCC	0,2	ˈpa-jənt	C1VCVCC	_p1AEJIXnt.
descend	CVCVCC	0,2	di-ˈsend	CVC1VCC	_dIHs1EHnd.
satellite	CVCVCVC	0,2,4	ˈsa-tə-ˌlīt	C1VCVCVC	_s1AEtAXlAYt.
etch	VC	0	ˈech	1VC	_1EHC.
midland	CVCCVCC	0,3	ˈmid-lənd	C1VCCVCC	_m1IHdlIXnd.
journal	CVCCVC	0,3	ˈjər-nəl	C1VCCVC	_J1AXrnAXl.
blocked	CCVCC	0	ˈbläkt	CC1VCC	_bl1AAkt.
iceman	VCCVC	0,2	ˈīs-ˌman	1VC=CVC	_1AYs=mAEn.
cambodia	CVCCVCVV	0,3,5,7	kam-ˈbō-dē-ə	CVCC1VCVV	_kAEmb1OWdIYAX.
yokel	VCVC	0,1	ˈyō-kəl	C1VCVC	_y1OWkAXl.
gazette	CVCVC	0,2	gə-ˈzet	CVC1VC	_gAXz1EHt.
spot	CCVC	0	ˈspät	CC1VC	_sp1AAt.
acanthus	VCVCCVC	0,1,4	ə-ˈkan(t)-thəs	VC1VCCVC	_AXk1AEnTIXs.
timid	CVCVC	0,2	ˈti-məd	C1VCVC	_t1IHmIHd.
bombay	CVCCV	0,3	bäm-ˈbā	CVCC1V	_bAAmb1EY.
paragraph	CVCVCCVC	0,3,4	ˈper-ə-ˌgraf	C1VCVCCVC	_p1AErAXgrAEf.
townsman	CVCCCVC	0,4	ˈtau̇nz-mən	C1VCCCVC	_t1AWnzmAXn.
conservative	CVCCVCCVCVC	0,3,6,8	kən-ˈsər-və-tiv	CVCC1VCCVCVC	_kAXns1AXrvIXtIHv.
requital	CVCCVCVC	0,2,5	ri-ˈkwī-təl	CVCC1VCVC	_rIXkw1AYtAXl.
mahatma	CVCVCCV	0,2,5	mə-ˈhät-mə	C1VC1VCCV	_m1EYh1AEtmAX.
feint	CVCC	0	ˈfānt	C1VCC	_f1EYnt.
ideological	VCVVCVCVCVC	0,1,3,4,6,8	ˌī-dē-ə-ˈlä-ji-kəl	1VCVVC1VCVCVC	_1AYdIYIXl1AAJIHkIXl.
sycophancy	CVCVCVCCV	0,2,4,7	ˈsi-kə-fən(t)-sē	C1VCVCVCCV	_s1IHkAXfIXnsIY.
strive	CCCVC	0	ˈstrīv	CCC1VC	_str1AYv.
fog	CVC	0	ˈfȯg	C1VC	_f1AOg.
blench	CCVCC	0	ˈblench	CC1VCC	_bl1EHnC.
park	CVCC	0	ˈpärk	C1VCC	_p1AArk.
chronograph	CCVCVCCVC	0,3,5	ˈkrä-nə-ˌgraf	CCVC1VCCVC	_krIXn1AAgrAEf.
gurgle	CVCCVC	0,3	ˈgər-gəl	C1VCCVC	_g1AXrgAXl.
cutler	CVCCVC	0,3	ˈkət-lər	C1VCCVC	_k1UXtlAXr.
ponder	CVCCVC	0,3	ˈpän-dər	C1VCCVC	_p1AAndAXr.
impunity	VCCVCVCV	0,2,4,6	im-ˈpyü-nə-tē	VCCC1VCVCV	_IHmpy1UWnIXtIY.
pauper	CVCVC	0,2	ˈpȯ-pər	C1VCVC	_p1AOpAXr.
rearm	CVVCC	0,2	(ˌ)rē-ˈärm	CV1VCC	_rIY1AArm.
aestheticism	VCCVCVCVCVC	0,2,4,6,8	es-ˈthe-tə-ˌsi-zəm	1VCCVC=VC=VCVC	_1EHsTIYt=AYz=IXzAXm.
cultivar	CVCCVCVC	0,3,5	ˈkəl-tə-ˌvär	C1VCCVCVC	_k1UXltIXvAAr.
decaf	CVCVC	0,2	ˈdē-ˌkaf	C1VC1VC	_d1IYk1AEf.
fennel	CVCVC	0,2	ˈfe-nəl	C1VCVC	_f1EHnAXl.
acts	VCCC	0	ˈakts	1VCCC	_1AEkts.
reviewer	CVCVVC	0,2,4	ri-ˈvyü-ər	CVCC1VVC	_rIXvy1UWAXr.
persecute	CVCCVCVC	0,3,5	ˈpər-si-ˌkyüt	C1VCCVCCVC	_p1AXrsIXkyUWt.
sunburst	CVCCVCCC	0,3	ˈsən-ˌbərst	C1VCCVCCC	_s1UXnbAXrst.
fallout	CVCVC	0,3	ˈfȯl-ˌau̇t	C1VC=VC	_f1AOl=AWt.
procedural	CCVCVCVCVC	0,3,5,7	prə-ˈsē-jə-rəl	CCVC1VCVCCVC	_prAXs1IYJAXrrAXl.
notch	CVC	0	ˈnäch	C1VC	_n1AAC.
millpond	CVCCVCC	0,3	ˈmil-ˌpänd	C1VC C2VCC	_m1IHl ~p2AAnd.
outplacement	VCCCVCCVCC	0,2,6	ˌau̇t-ˈplās-mənt	1VCCCVC=CVCC	_1AWtplEYs=mIXnt.
recapitulate	CVCVCVCVCVC	0,2,4,6,8	ˌrē-kə-ˈpi-chə-ˌlāt	C1VCVC1VCVCVC	_r1IYkAXp1IHCIXlEYt.
shearwater	CVCCVCVC	0,3,5	ˈshir-ˌwȯ-tər	C1VC C2VCVC	_S1IYr ~w2AOtAXr.
thumbprint	CVCCCVCC	0,3	ˈthəm-ˌprint	C1VC CC2VCC	_T1UXm ~pr2IHnt.
pus	CVC	0	ˈpəs	C1VC	_p1UXs.
wales	CVCC	0	ˈwālz	C1VCC	_w1EYlz.
iodide	VVCVC	0,1,2	ˈī-ə-ˌdīd	1VVC=VC	_1AYIXd=AYd.
unutterable	VCVCVCVCVC	0,2,3,5,7	ˌən-ˈə-tə-rə-bəl	1VC=1VCVCCVCVC	_1UXn=1UXtAXrrAXbAXl.
elemental	VCVCVCCVC	0,1,3,6	ˌe-lə-ˈmen-təl	1VCVC1VCCVC	_1EHlIXm1EHntAXl.
terminator	CVCCVCVCVC	0,3,5,7	ˈtər-mə-ˌnā-tər	C1VCCVCVC=VC	_t1AXrmIXnEYt=AXr.
broiling	CCVVCVC	0,3,4	ˈbrȯi(-ə)-liŋ	CC1VC=VC	_br1OYl=IHN.
decoy	CVCV	0,2	ˈdē-ˌkȯi	CVC1V	_dIHk1OY.
supervision	CVCVCCVCVC	0,2,5,7	ˌsü-pər-ˈvi-zhən	C1VCVCC1VCVC	_s1UWpAXrv1IHZIXn.
lilliput	CVCVCVC	0,2,4	ˈli-li-(ˌ)pət	C1VCVCVC	_l1IHlIYpUHt.
junket	CVCCVC	0,3	ˈjəŋ-kət	C1VCCVC	_J1UXNkAXt.
vatican	CVCVCVC	0,2,4	ˈva-ti-kən	C1VCVCVC	_v1AEtIHkAXn.
cock	CVC	0	ˈkäk	C1VC	_k1AAk.
prognosticate	CCVCCVCCVCVC	0,4,7,9	präg-ˈnäs-tə-ˌkāt	CCVCC1VCCVC 2VC	_prAAgn1AAstIHk ~2EYt.
oceanography	VCVCVCCVCV	0,1,3,5,8	ˌō-shə-ˈnä-grə-fē	VCVC1VCCVCV	_OWSIXn1AAgrIXfIY.
despoil	CVCCVVC	0,2,5	di-ˈspȯi(-ə)l	CVCC1VC	_dIHsp1OYl.
interfere	VCCVCCVC	0,2,5	ˌin-tə(r)-ˈfir	1VCCVCC1VC	_1IHntAXrf1IYr.
streamer	CCCVCVC	0,4	ˈstrē-mər	CCC1VCVC	_str1IYmAXr.
hoar	CVC	0	ˈhȯr	C1VC	_h1AOr.
alack	VCVC	0,1	ə-ˈlak	1VC 2VC	_1AEl ~2AEk.
droplet	CCVCCVC	0,4	ˈdräp-lət	CC1VCCVC	_dr1AAplIXt.
stain	CCVC	0	ˈstān	CC1VC	_st1EYn.
tormentor	CVCCVCCVC	0,3,6	tȯr-ˈmen-tər	CVCC1VCCVC	_tAOrm1EHntAXr.
bargain	CVCCVC	0,3	ˈbär-gən	C1VCCVC	_b1AArgIXn.
plasterwork	CCVCCVCCVCC	0,4,7	ˈplas-tər-ˌwərk	CC1VCCVC C2VCC	_pl1AEstAXr ~w2AXrk.
shack	CVC	0	ˈshak	C1VC	_S1AEk.
accrue	VCCV	0,1	ə-ˈkrü	VCC1V	_AXkr1UW.
empathy	VCCVCV	0,2,4	ˈem-pə-thē	1VCCVCV	_1EHmpAXTIY.
mother	CVCVC	0,2	ˈmə-thər	C1VCVC	_m1UXDAXr.
layoff	CVVC	0,2	ˈlā-ˌȯf	C1VVC	_l1EYAOf.
towering	CVVCVC	0,2,4	ˈtau̇(-ə)r-iŋ	C1VVC=VC	_t1AWAXr=IHN.
tomahawk	CVCVCVC	0,2,4	ˈtä-mi-ˌhȯk	C1VCVCVC	_t1AAmAXhAOk.
deportment	CVCVCCCVCC	0,2,6	di-ˈpȯrt-mənt	CVC1VCCCVCC	_dIHp1AOrtmIXnt.
awol	VCVC	0,1	ˈā-ˌwȯl	1VCVC	_1EYwAOl.
insomnia	VCCVCCVV	0,2,5,7	in-ˈsäm-nē-ə	VCC1VCCVV	_IHns1AAmnIYAX.
albinism	VCCVCVCVC	0,2,4,6	ˈal-bə-ˌni-zəm	1VCCVCVCVC	_1AElbIXnIXzAXm.
wring	CVC	0	ˈriŋ	C1VC	_r1IHN.
pig	CVC	0	ˈpig	C1VC	_p1IHg.
woven	CVCVC	0,2	ˈwō-vən	C1VCVC	_w1OWvIXn.
chirp	CVCC	0	ˈchərp	C1VCC	_C1AXrp.
change	CVCC	0	ˈchānj	C1VCC	_C1EYnJ.
fob	CVC	0	ˈfäb	C1VC	_f1AAb.
rhetoric	CVCVCVC	0,2,4	ˈre-tə-rik	C1VCVCCVC	_r1EHtAXrrIHk.
lino	CVCV	0,2	ˈlī-(ˌ)nō	C1VCV	_l1IYnOW.
goalpost	CVCCVCC	0,3	ˈgōl-ˌpōst	C1VCCVCC	_g1OWlpOWst.
valued	CVCVC	0,3	ˈval-(ˌ)yüd	C1VCCVC	_v1AElyUWd.
riviera	CVCVVCV	0,2,4,6	ˌri-vē-ˈer-ə	CVCV1VCV	_rIHvIY1EHrAX.
outbuilding	VCCVCCVC	0,2,5	ˈau̇t-ˌbil-diŋ	2VC C1VCC=VC	~2AWt _b1IHld=IHN.
spokesman	CCVCCCVC	0,5	ˈspōks-mən	CC1VCC=CVC	_sp1OWks=mAXn.
mediator	CVCVVCVC	0,2,4,5	ˈmē-dē-ˌā-tər	C1VCVVCVC	_m1IYdIYEYtAXr.
differently	CVCVCCCCV	0,2,7	ˈdi-fərnt-lē	C1VCCVCCCV	_d1IHfrIXntlIY.
grit	CCVC	0	ˈgrit	CC1VC	_gr1IHt.
rhythm	CVCVC	0,2	ˈri-thəm	C1VCVC	_r1IHDAXm.
neurotic	CVCVCVC	0,2,4	nu̇-ˈrä-tik	CVC1VCVC	_nUWr1AAtIHk.
consummation	CVCCVCVCVC	0,3,5,7	ˌkän-sə-ˈmā-shən	CVCCVC1VCVC	_kAAnsAXm1EYSIXn.
eighth	VCC	0	ˈātth	1VCC	_1EYtT.
triviality	CCVCVVCVCV	0,3,5,6,8	ˌtri-vē-ˈa-lə-tē	CC1VCV1VCVCV	_tr1IHvIY1AElIXtIY.
ecumenism	VCVCVCVCVC	0,1,3,5,7	e-ˈkyü-mə-ˌni-zəm	VCC1VCVCVCVC	_EHky1UWmAXnIHzAXm.
shipwright	CVCCVC	0,3	ˈship-ˌrīt	C1VCCVC	_S1IHprAYt.
plenary	CCVCVCV	0,3,5	ˈplē-nə-rē	CC1VCVCCV	_pl1EHnAXrrIY.
swivel	CCVCVC	0,3	ˈswi-vəl	CC1VCVC	_sw1IHvAXl.
plaything	CCVCVC	0,3	ˈplā-ˌthiŋ	CC1VCVC	_pl1EYTIHN.
hamstring	CVCCCCVC	0,3	ˈham-ˌstriŋ	C1VC=CCCVC	_h1AEm=strIHN.
censer	CVCCVC	0,3	ˈsen(t)-sər	C1VCCVC	_s1EHnsAXr.
gastric	CVCCCVC	0,3	ˈgas-trik	C1VCCCVC	_g1AEstrIHk.
keep	CVC	0	ˈkēp	C1VC	_k1IYp.
longitude	CVCCVCVC	0,3,5	ˈlän-jə-ˌtüd	C1VCCVCVC	_l1AAnJIXtUWd.
totter	CVCVC	0,2	ˈtä-tər	C1VCVC	_t1AAtAXr.
prestigious	CCVCCVCVC	0,3,6	pre-ˈsti-jəs	CCVCC1VCVC	_prEHst1IHJIXs.
tower	CVVC	0,2	ˈtau̇(-ə)r	C1VVC	_t1AWAXr.
queue	CV	0	ˈkyü	CC1V	_ky1UW.
commend	CVCVCC	0,2	kə-ˈmend	CVC1VCC	_kAXm1EHnd.
cabbage	CVCVC	0,2	ˈka-bij	C1VCVC	_k1AEbIHJ.
broker	CCVCVC	0,3	ˈbrō-kər	CC1VCVC	_br1OWkAXr.
